epsilon-greedy,ucb1,ucb2,softmax,annealing-softmax,thompson
0.8846153846153846,0.6346153846153846,0.9615384615384616,0.75,0.5384615384615384,0.7884615384615384
0.8867924528301887,0.6226415094339622,0.9622641509433962,0.7547169811320755,0.5471698113207547,0.7924528301886793
0.8888888888888888,0.6111111111111112,0.9629629629629629,0.7592592592592593,0.5370370370370371,0.7962962962962963
0.8909090909090909,0.6181818181818182,0.9636363636363636,0.7454545454545455,0.5454545454545454,0.8
0.8928571428571429,0.6071428571428571,0.9642857142857143,0.7321428571428571,0.5535714285714286,0.8035714285714286
0.8947368421052632,0.5964912280701754,0.9649122807017544,0.7368421052631579,0.5614035087719298,0.8070175438596491
0.896551724137931,0.5862068965517241,0.9655172413793104,0.7241379310344828,0.5689655172413793,0.7931034482758621
0.8983050847457628,0.5932203389830508,0.9661016949152542,0.7288135593220338,0.559322033898305,0.7966101694915254
0.9,0.5833333333333334,0.9666666666666667,0.7333333333333333,0.55,0.8
0.8852459016393442,0.5901639344262295,0.9672131147540983,0.7377049180327869,0.5573770491803278,0.7868852459016393
0.8870967741935484,0.5806451612903226,0.967741935483871,0.7419354838709677,0.5483870967741935,0.7903225806451613
0.8888888888888888,0.5714285714285714,0.9682539682539683,0.746031746031746,0.5396825396825397,0.7936507936507936
0.890625,0.5625,0.96875,0.75,0.546875,0.796875
0.8923076923076924,0.5692307692307692,0.9692307692307692,0.7384615384615385,0.5384615384615384,0.8
0.8939393939393939,0.5757575757575758,0.9696969696969697,0.7272727272727273,0.5454545454545454,0.803030303030303
0.8955223880597015,0.582089552238806,0.9701492537313433,0.7313432835820896,0.5373134328358209,0.8059701492537313
0.8970588235294118,0.5882352941176471,0.9705882352941176,0.7352941176470589,0.5294117647058824,0.8088235294117647
0.8985507246376812,0.5942028985507246,0.9710144927536232,0.7391304347826086,0.5362318840579711,0.8115942028985508
0.9,0.6,0.9714285714285714,0.7428571428571429,0.5428571428571428,0.8142857142857143
0.9014084507042254,0.5915492957746479,0.971830985915493,0.7323943661971831,0.5492957746478874,0.8169014084507042
0.9027777777777778,0.5972222222222222,0.9722222222222222,0.7361111111111112,0.5416666666666666,0.8055555555555556
0.9041095890410958,0.6027397260273972,0.958904109589041,0.7397260273972602,0.547945205479452,0.8082191780821918
0.9054054054054054,0.6081081081081081,0.9594594594594594,0.7432432432432432,0.5540540540540541,0.7972972972972973
0.9066666666666666,0.6,0.9466666666666667,0.7466666666666667,0.5466666666666666,0.7866666666666666
0.9078947368421053,0.6052631578947368,0.9473684210526315,0.75,0.5526315789473685,0.7894736842105263
0.9090909090909091,0.6103896103896104,0.948051948051948,0.7532467532467533,0.5584415584415584,0.7922077922077922
0.9102564102564102,0.6153846153846154,0.9487179487179487,0.7435897435897436,0.5641025641025641,0.7948717948717948
0.9113924050632911,0.620253164556962,0.9367088607594937,0.7341772151898734,0.569620253164557,0.7974683544303798
0.9125,0.625,0.925,0.725,0.575,0.8
0.9135802469135802,0.6296296296296297,0.9135802469135802,0.7283950617283951,0.5802469135802469,0.8024691358024691
0.9146341463414634,0.6341463414634146,0.9146341463414634,0.7317073170731707,0.5853658536585366,0.8048780487804879
